payer_type,cpt_code,requires_prior_auth,auth_lead_time_days,historical_denial_rate,avg_payment_turnaround_days,timely_filing_limit_days
Medicare_FFS,94010,FALSE,0,0.094,21,90
Medicare_FFS,93306,FALSE,0,0.073,17,90
Medicare_Advantage,99396,TRUE,5,0.167,37,90
Medicare_Advantage,43235,TRUE,5,0.219,44,180
Medicare_Advantage,96413,TRUE,5,0.281,21,90
Medicare_Advantage,H0001,TRUE,3,0.183,22,90
Medicare_Advantage,70553,TRUE,7,0.284,43,365
Medicare_Advantage,71046,TRUE,3,0.171,34,90
Medicare_Advantage,64483,TRUE,7,0.295,35,365
Medicare_Advantage,97110,TRUE,7,0.158,19,180
Medicare_Advantage,99285,TRUE,5,0.204,24,90
Medicare_Advantage,99215,TRUE,5,0.186,21,90
Medicare_Advantage,78452,TRUE,5,0.187,35,365
Medicare_Advantage,97140,TRUE,10,0.22,34,180
Medicare_Advantage,99391,TRUE,14,0.201,42,365
Medicare_Advantage,29827,TRUE,5,0.297,20,180
Medicare_Advantage,90834,TRUE,5,0.225,21,180
Medicare_Advantage,90837,TRUE,3,0.162,28,365
Medicare_Advantage,72148,TRUE,5,0.297,24,365
Medicare_Advantage,74177,TRUE,5,0.264,40,180
Medicare_Advantage,95819,TRUE,3,0.231,21,90
Medicare_Advantage,31623,TRUE,5,0.266,31,90
Medicare_Advantage,59400,TRUE,14,0.262,43,90
Medicare_Advantage,93454,TRUE,3,0.288,15,180
Medicare_Advantage,29881,TRUE,14,0.221,17,180
Medicare_Advantage,38220,TRUE,3,0.222,20,90
Medicare_Advantage,95886,TRUE,7,0.175,44,365
Medicare_Advantage,77301,TRUE,5,0.269,23,90
Medicare_Advantage,94726,TRUE,10,0.204,34,180
Medicare_Advantage,45380,TRUE,5,0.173,14,180
Medicare_Advantage,99284,TRUE,7,0.155,41,365
Medicare_Advantage,99283,TRUE,5,0.218,43,365
Medicare_Advantage,97530,TRUE,7,0.177,34,90
Medicare_Advantage,99214,TRUE,10,0.159,40,180
Medicare_Advantage,76805,TRUE,5,0.167,20,365
Medicare_Advantage,93280,TRUE,3,0.217,29,90
Medicare_Advantage,99233,TRUE,5,0.2,45,365
Medicare_Advantage,27447,TRUE,5,0.276,20,90
Medicare_Advantage,45378,TRUE,7,0.155,44,365
Medicare_Advantage,97035,TRUE,3,0.193,20,180
Medicare_Advantage,93000,TRUE,14,0.219,39,180
Medicare_Advantage,20610,TRUE,5,0.151,14,180
Medicare_Advantage,99213,TRUE,7,0.228,25,365
Medicare_Advantage,99291,TRUE,5,0.173,36,180
Medicare_Advantage,99232,TRUE,5,0.169,31,365
Medicare_Advantage,90791,TRUE,5,0.169,39,90
Medicare_Advantage,43239,TRUE,10,0.173,45,180
Medicare_Advantage,58150,TRUE,10,0.288,43,180
Medicare_Advantage,97012,TRUE,5,0.197,19,180
Medicare_Advantage,94010,TRUE,3,0.167,34,180
Medicare_Advantage,93306,TRUE,14,0.165,35,180
Medicaid_Managed,99396,FALSE,0,0.269,28,180
Medicaid_Managed,43235,FALSE,0,0.235,40,180
Medicaid_Managed,96413,TRUE,10,0.315,30,180
Medicaid_Managed,H0001,FALSE,0,0.23,14,180
Medicaid_Managed,70553,TRUE,14,0.282,14,365
Medicaid_Managed,71046,FALSE,0,0.262,24,90
Medicaid_Managed,64483,TRUE,7,0.263,25,90
Medicaid_Managed,97110,FALSE,0,0.218,39,90
Medicaid_Managed,99285,FALSE,0,0.241,38,90
Medicaid_Managed,99215,FALSE,0,0.267,16,180
Medicaid_Managed,78452,FALSE,0,0.234,36,180
Medicaid_Managed,97140,FALSE,0,0.199,22,365
Medicaid_Managed,99391,FALSE,0,0.205,20,365
Medicaid_Managed,29827,TRUE,3,0.33,14,365
Medicaid_Managed,90834,FALSE,0,0.245,22,180
Medicaid_Managed,90837,FALSE,0,0.261,31,90
Medicaid_Managed,72148,TRUE,10,0.339,17,365
Medicaid_Managed,74177,TRUE,3,0.293,27,90
Medicaid_Managed,95819,TRUE,3,0.33,26,180
Medicaid_Managed,31623,TRUE,10,0.261,33,365
Medicaid_Managed,59400,TRUE,14,0.298,39,365
Medicaid_Managed,93454,TRUE,3,0.271,36,365
Medicaid_Managed,29881,FALSE,0,0.21,29,180
Medicaid_Managed,38220,TRUE,14,0.272,29,365
Medicaid_Managed,95886,FALSE,0,0.235,31,90
Medicaid_Managed,77301,TRUE,3,0.267,25,180
Medicaid_Managed,94726,FALSE,0,0.203,36,180
Medicaid_Managed,45380,FALSE,0,0.258,43,180
Medicaid_Managed,99284,FALSE,0,0.246,19,90
Medicaid_Managed,99283,FALSE,0,0.225,42,180
Medicaid_Managed,97530,FALSE,0,0.27,41,90
Medicaid_Managed,99214,FALSE,0,0.238,16,365
Medicaid_Managed,76805,FALSE,0,0.229,31,90
Medicaid_Managed,93280,FALSE,0,0.266,22,180
Medicaid_Managed,99233,FALSE,0,0.236,17,90
Medicaid_Managed,27447,TRUE,10,0.316,22,365
Medicaid_Managed,45378,FALSE,0,0.229,15,90
Medicaid_Managed,97035,FALSE,0,0.199,32,180
Medicaid_Managed,93000,FALSE,0,0.217,26,90
Medicaid_Managed,20610,FALSE,0,0.253,40,180
Medicaid_Managed,99213,FALSE,0,0.224,34,180
Medicaid_Managed,99291,FALSE,0,0.236,15,180
Medicaid_Managed,99232,FALSE,0,0.219,22,90
Medicaid_Managed,90791,FALSE,0,0.196,29,365
Medicaid_Managed,43239,FALSE,0,0.253,18,90
Medicaid_Managed,58150,TRUE,10,0.275,29,180
Medicaid_Managed,97012,FALSE,0,0.206,17,180
Medicaid_Managed,94010,FALSE,0,0.244,29,90
Medicaid_Managed,93306,FALSE,0,0.197,45,180
Commercial_PPO,99396,FALSE,0,0.113,16,365
Commercial_PPO,43235,FALSE,0,0.097,35,90
Commercial_PPO,96413,TRUE,10,0.207,28,180
Commercial_PPO,H0001,FALSE,0,0.16,27,90
Commercial_PPO,70553,TRUE,10,0.177,44,365
Commercial_PPO,71046,FALSE,0,0.151,23,365
Commercial_PPO,64483,TRUE,10,0.21,40,90
Commercial_PPO,97110,FALSE,0,0.124,42,180
Commercial_PPO,99285,FALSE,0,0.159,20,365
Commercial_PPO,99215,FALSE,0,0.15,40,90
Commercial_PPO,78452,FALSE,0,0.121,36,180
Commercial_PPO,97140,FALSE,0,0.112,19,180
Commercial_PPO,99391,FALSE,0,0.144,24,365
Commercial_PPO,29827,TRUE,7,0.211,42,365
Commercial_PPO,90834,FALSE,0,0.121,20,180
Commercial_PPO,90837,FALSE,0,0.138,29,180
Commercial_PPO,72148,TRUE,10,0.183,36,90
Commercial_PPO,74177,TRUE,5,0.211,39,90
Commercial_PPO,95819,TRUE,7,0.209,43,365
Commercial_PPO,31623,TRUE,3,0.188,20,365
Commercial_PPO,59400,TRUE,7,0.204,37,90
Commercial_PPO,93454,TRUE,5,0.182,26,90
Commercial_PPO,29881,FALSE,0,0.113,24,180
Commercial_PPO,38220,TRUE,5,0.209,29,90
Commercial_PPO,95886,FALSE,0,0.115,17,365
Commercial_PPO,77301,TRUE,14,0.193,34,180
Commercial_PPO,94726,FALSE,0,0.165,40,365
Commercial_PPO,45380,FALSE,0,0.15,31,180
Commercial_PPO,99284,FALSE,0,0.108,34,90
Commercial_PPO,99283,FALSE,0,0.101,31,365
Commercial_PPO,97530,FALSE,0,0.09,25,90
Commercial_PPO,99214,FALSE,0,0.099,28,90
Commercial_PPO,76805,FALSE,0,0.093,43,180
Commercial_PPO,93280,FALSE,0,0.12,38,365
Commercial_PPO,99233,FALSE,0,0.119,25,365
Commercial_PPO,27447,TRUE,7,0.198,19,365
Commercial_PPO,45378,FALSE,0,0.15,17,180
Commercial_PPO,97035,FALSE,0,0.166,31,365
Commercial_PPO,93000,FALSE,0,0.104,22,180
Commercial_PPO,20610,FALSE,0,0.119,41,90
Commercial_PPO,99213,FALSE,0,0.167,27,180
Commercial_PPO,99291,FALSE,0,0.109,28,180
Commercial_PPO,99232,FALSE,0,0.141,32,90
Commercial_PPO,90791,FALSE,0,0.134,41,365
Commercial_PPO,43239,FALSE,0,0.163,24,365
Commercial_PPO,58150,TRUE,5,0.192,20,365
Commercial_PPO,97012,FALSE,0,0.112,40,365
Commercial_PPO,94010,FALSE,0,0.135,43,180
Commercial_PPO,93306,FALSE,0,0.154,20,180
Commercial_HMO,99396,TRUE,3,0.2,44,365
Commercial_HMO,43235,TRUE,5,0.193,21,365
Commercial_HMO,96413,TRUE,10,0.27,27,90
Commercial_HMO,H0001,TRUE,3,0.235,35,365
Commercial_HMO,70553,TRUE,10,0.245,44,365
Commercial_HMO,71046,TRUE,3,0.229,39,365
Commercial_HMO,64483,TRUE,5,0.264,24,180
Commercial_HMO,97110,TRUE,7,0.234,33,90
Commercial_HMO,99285,TRUE,14,0.206,37,180
Commercial_HMO,99215,TRUE,10,0.219,28,180
Commercial_HMO,78452,TRUE,3,0.213,29,90
Commercial_HMO,97140,TRUE,14,0.234,41,180
Commercial_HMO,99391,TRUE,7,0.234,25,180
Commercial_HMO,29827,TRUE,3,0.28,38,90
Commercial_HMO,90834,TRUE,7,0.187,36,365
Commercial_HMO,90837,TRUE,3,0.203,20,90
Commercial_HMO,72148,TRUE,14,0.296,44,90
Commercial_HMO,74177,TRUE,10,0.286,39,180
Commercial_HMO,95819,TRUE,14,0.315,45,365
Commercial_HMO,31623,TRUE,14,0.253,22,180
Commercial_HMO,59400,TRUE,7,0.248,37,90
Commercial_HMO,93454,TRUE,7,0.302,31,365
Commercial_HMO,29881,TRUE,10,0.193,15,180
Commercial_HMO,38220,TRUE,7,0.274,16,90
Commercial_HMO,95886,TRUE,3,0.196,17,365
Commercial_HMO,77301,TRUE,14,0.319,28,90
Commercial_HMO,94726,TRUE,3,0.185,29,180
Commercial_HMO,45380,TRUE,5,0.205,44,365
Commercial_HMO,99284,TRUE,5,0.23,27,90
Commercial_HMO,99283,TRUE,3,0.18,21,180
Commercial_HMO,97530,TRUE,3,0.217,36,365
Commercial_HMO,99214,TRUE,14,0.222,17,90
Commercial_HMO,76805,TRUE,5,0.228,29,90
Commercial_HMO,93280,TRUE,14,0.212,30,365
Commercial_HMO,99233,TRUE,10,0.21,31,365
Commercial_HMO,27447,TRUE,7,0.31,24,365
Commercial_HMO,45378,TRUE,14,0.237,21,365
Commercial_HMO,97035,TRUE,10,0.192,41,90
Commercial_HMO,93000,TRUE,10,0.182,22,90
Commercial_HMO,20610,TRUE,3,0.244,32,180
Commercial_HMO,99213,TRUE,14,0.212,36,365
Commercial_HMO,99291,TRUE,7,0.193,17,365
Commercial_HMO,99232,TRUE,14,0.223,15,90
Commercial_HMO,90791,TRUE,7,0.249,15,180
Commercial_HMO,43239,TRUE,14,0.221,36,180
Commercial_HMO,58150,TRUE,14,0.274,35,90
Commercial_HMO,97012,TRUE,5,0.194,27,180
Commercial_HMO,94010,TRUE,7,0.221,14,365
Commercial_HMO,93306,TRUE,14,0.228,15,365
Commercial_EPO,99396,FALSE,0,0.139,33,90
Commercial_EPO,43235,FALSE,0,0.18,39,180
Commercial_EPO,96413,TRUE,3,0.224,28,365
Commercial_EPO,H0001,FALSE,0,0.198,34,365
Commercial_EPO,70553,TRUE,7,0.208,37,365
Commercial_EPO,71046,FALSE,0,0.154,15,90
Commercial_EPO,64483,TRUE,3,0.259,27,365
Commercial_EPO,97110,FALSE,0,0.196,39,180
Commercial_EPO,99285,FALSE,0,0.126,26,180
Commercial_EPO,99215,FALSE,0,0.178,20,365
Commercial_EPO,78452,FALSE,0,0.165,27,90
Commercial_EPO,97140,FALSE,0,0.12,14,180
Commercial_EPO,99391,FALSE,0,0.142,23,180
Commercial_EPO,29827,TRUE,5,0.196,31,90
Commercial_EPO,90834,FALSE,0,0.174,38,90
Commercial_EPO,90837,FALSE,0,0.155,31,180
Commercial_EPO,72148,TRUE,3,0.199,39,180
Commercial_EPO,74177,TRUE,5,0.245,32,90
Commercial_EPO,95819,TRUE,7,0.238,45,365
Commercial_EPO,31623,TRUE,10,0.199,41,365
Commercial_EPO,59400,TRUE,3,0.232,29,365
Commercial_EPO,93454,TRUE,14,0.242,31,365
Commercial_EPO,29881,FALSE,0,0.198,27,180
Commercial_EPO,38220,TRUE,10,0.23,43,365
Commercial_EPO,95886,FALSE,0,0.19,14,180
Commercial_EPO,77301,TRUE,5,0.266,20,180
Commercial_EPO,94726,FALSE,0,0.198,43,180
Commercial_EPO,45380,FALSE,0,0.196,23,90
Commercial_EPO,99284,FALSE,0,0.145,45,180
Commercial_EPO,99283,FALSE,0,0.191,42,365
Commercial_EPO,97530,FALSE,0,0.185,26,90
Commercial_EPO,99214,FALSE,0,0.179,39,90
Commercial_EPO,76805,FALSE,0,0.16,25,90
Commercial_EPO,93280,FALSE,0,0.157,18,90
Commercial_EPO,99233,FALSE,0,0.177,35,180
Commercial_EPO,27447,TRUE,5,0.257,20,180
Commercial_EPO,45378,FALSE,0,0.166,31,365
Commercial_EPO,97035,FALSE,0,0.148,33,365
Commercial_EPO,93000,FALSE,0,0.193,33,180
Commercial_EPO,20610,FALSE,0,0.172,41,365
Commercial_EPO,99213,FALSE,0,0.151,39,365
Commercial_EPO,99291,FALSE,0,0.156,43,180
Commercial_EPO,99232,FALSE,0,0.162,16,365
Commercial_EPO,90791,FALSE,0,0.18,31,90
Commercial_EPO,43239,FALSE,0,0.148,29,90
Commercial_EPO,58150,TRUE,3,0.261,23,180
Commercial_EPO,97012,FALSE,0,0.133,27,365
Commercial_EPO,94010,FALSE,0,0.162,36,365
Commercial_EPO,93306,FALSE,0,0.144,26,365
